gene_id,L1,L2,L3,L4,L5,L6,M1,M2,M3,M4,M5,M6,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,M7,U1,U2,U3,U4,U5
foxq2,0,0,0,0,0,186,0,0,139,0,0,24,0,0,0,0,0,855,1314,1871,2841,2558,3663,4533,46,0,0,264,2,0
CU657925.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neurl2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neurl4,0,85,111,0,0,0,0,0,0,0,0,0,0,0,11,19,53,0,0,0,0,182,6,0,0,0,0,0,0,0
lamc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamc3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb:bc139872,749,741,703,930,612,795,832,779,511,560,674,773,76,77,638,437,307,447,393,299,542,503,626,885,425,422,241,501,357,658
cylda,44,108,156,37,63,127,24,1058,0,153,0,305,0,0,198,14,37,646,7,378,0,847,225,213,102,0,49,98,142,0
cyldb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyldl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX914205.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BX914205.2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX914205.1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,5
cnnm2a,0,0,66,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,21,0
cnnm2b,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ap1m2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap1m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ap1m1,502,354,20,450,208,499,118,721,487,14,102,548,0,957,413,523,275,209,225,0,34,234,50,10,539,0,0,19,58,13
BX323820.1,1177,896,1142,1500,1595,330,265,380,389,26,394,10,26,87,484,10,955,1167,195,293,0,780,19,280,9,0,0,0,0,0
tnfsf10l3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
CR786562.1,0,4,0,0,17,0,0,0,0,0,0,0,0,0,9,13,3,45,7,0,0,0,26,0,0,0,0,0,0,18
si:dkey-175g6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch211-168d1.3,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rras2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,47,0,0,0
si:dkey-153k10.9,0,0,73,71,15,3,0,2,22,60,17,55,0,0,227,371,83,0,210,0,14,30,0,17,0,2,0,51,78,3
CU929402.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU929402.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
egln3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,141,0,0,0,9,0,0,0,9,0,0,89,0,0,0,538
egln2,506,492,73,363,36,181,333,798,251,27,0,0,0,0,0,0,295,1078,0,603,62,396,198,0,0,887,0,601,41,283
anxa3b,196,66,8,0,17,13,21,0,0,0,0,33,0,0,0,0,0,0,0,32,23,17,41,37,0,0,0,35,66,14
stap2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pycard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stap2a,0,0,0,0,0,2,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asb14a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
asb14b,44,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX927136.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si:ch1073-184j22.2,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR847563.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arntl2,18,81,1,14,0,83,0,2,0,22,0,0,0,0,0,19,0,2,0,1,15,21,1,0,0,25,3,1,12,27
cops8,383,485,284,427,272,467,487,191,444,375,50,360,476,303,198,442,282,90,236,122,124,185,340,460,159,452,138,213,285,535
cops9,150,248,266,258,107,148,340,202,133,129,139,230,62,57,142,130,137,290,122,177,160,326,198,267,231,87,87,102,73,137
cops2,848,967,660,685,669,1105,607,803,37,570,970,449,2218,2349,602,1619,853,1541,1339,580,710,1096,1630,939,227,601,446,802,788,711
rfc1,449,632,948,1319,360,1109,149,188,164,316,173,389,90,61,343,646,560,127,255,205,87,238,322,494,144,369,152,326,339,221
rps6kb1b,270,3,82,255,102,84,0,0,264,9,155,74,319,40,90,0,115,25,33,0,152,334,0,112,247,0,6,108,80,0
zgc:194125,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cops4,3341,2886,2390,2489,1636,1659,2643,1986,1303,1239,2858,2344,2853,3453,2440,1883,2680,1380,2054,497,1203,2721,2999,1694,1887,2000,2544,1130,1811,1820
cops5,920,1180,784,1089,679,321,705,178,641,516,667,916,13,1067,573,524,521,1166,658,818,247,488,1364,1548,481,548,245,787,811,680
arhgap27l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CR381689.1,0,0,0,8,0,0,5,0,0,0,0,1,0,0,14,2,0,0,0,0,0,0,0,2,1,5,0,0,0,5
dctn2,381,339,589,384,697,239,370,685,620,447,564,552,505,1,792,1543,505,0,263,383,565,739,671,385,240,375,261,374,434,686
dctn3,554,1445,975,1374,717,1006,878,466,870,982,818,837,0,668,644,822,316,671,766,1008,997,643,1564,887,1288,1165,906,707,997,601
dctn4,718,957,937,2253,934,794,1510,2339,601,179,1244,278,1695,0,493,1318,639,1149,684,281,1357,888,365,17,651,19,781,1316,950,237
